aa	af:Afar	af-NA:Afar	am:አፋርኛ	ar:الأفارية	ar-AE:الأفارية	ar-BH:الأفارية	ar-DJ:الأفارية	ar-DZ:الأفارية	ar-EG:الأفارية	ar-EH:الأفارية	ar-ER:الأفارية	ar-IL:الأفارية	ar-IQ:الأفارية	ar-JO:الأفارية	ar-KM:الأفارية	ar-KW:الأفارية	ar-LB:الأفارية	ar-LY:الأفارية	ar-MA:الأفارية	ar-MR:الأفارية
ab	ab:Аԥсшәа	af:Abkasies	af-NA:Abkasies	am:አብሐዚኛ	ar:الأبخازية	ar-AE:الأبخازية	ar-BH:الأبخازية	ar-DJ:الأبخازية	ar-DZ:الأبخازية	ar-EG:الأبخازية	ar-EH:الأبخازية	ar-ER:الأبخازية	ar-IL:الأبخازية	ar-IQ:الأبخازية	ar-JO:الأبخازية	ar-KM:الأبخازية	ar-KW:الأبخازية	ar-LB:الأبخازية	ar-LY:الأبخازية	ar-MA:الأبخازية
ace	af:Atsjenees	af-NA:Atsjenees	am:አቻይንኛ	ar:الأتشينيزية	ar-AE:الأتشينيزية	ar-BH:الأتشينيزية	ar-DJ:الأتشينيزية	ar-DZ:الأتشينيزية	ar-EG:الأتشينيزية	ar-EH:الأتشينيزية	ar-ER:الأتشينيزية	ar-IL:الأتشينيزية	ar-IQ:الأتشينيزية	ar-JO:الأتشينيزية	ar-KM:الأتشينيزية	ar-KW:الأتشينيزية	ar-LB:الأتشينيزية	ar-LY:الأتشينيزية	ar-MA:الأتشينيزية	ar-MR:الأتشينيزية
ach	af:Akoli	af-NA:Akoli	am:አኮሊኛ	ar:الأكولية	ar-AE:الأكولية	ar-BH:الأكولية	ar-DJ:الأكولية	ar-DZ:الأكولية	ar-EG:الأكولية	ar-EH:الأكولية	ar-ER:الأكولية	ar-IL:الأكولية	ar-IQ:الأكولية	ar-JO:الأكولية	ar-KM:الأكولية	ar-KW:الأكولية	ar-LB:الأكولية	ar-LY:الأكولية	ar-MA:الأكولية	ar-MR:الأكولية
ada	af:Adangme	af-NA:Adangme	am:አዳንግሜ	ar:الأدانجمية	ar-AE:الأدانجمية	ar-BH:الأدانجمية	ar-DJ:الأدانجمية	ar-DZ:الأدانجمية	ar-EG:الأدانجمية	ar-EH:الأدانجمية	ar-ER:الأدانجمية	ar-IL:الأدانجمية	ar-IQ:الأدانجمية	ar-JO:الأدانجمية	ar-KM:الأدانجمية	ar-KW:الأدانجمية	ar-LB:الأدانجمية	ar-LY:الأدانجمية	ar-MA:الأدانجمية	ar-MR:الأدانجمية
ady	af:Adyghe	af-NA:Adyghe	am:አድይግሄ	ar:الأديغة	ar-AE:الأديغة	ar-BH:الأديغة	ar-DJ:الأديغة	ar-DZ:الأديغة	ar-EG:الأديغة	ar-EH:الأديغة	ar-ER:الأديغة	ar-IL:الأديغة	ar-IQ:الأديغة	ar-JO:الأديغة	ar-KM:الأديغة	ar-KW:الأديغة	ar-LB:الأديغة	ar-LY:الأديغة	ar-MA:الأديغة	ar-MR:الأديغة
ae	am:አቬስታን	ar:الأفستية	ar-AE:الأفستية	ar-BH:الأفستية	ar-DJ:الأفستية	ar-DZ:الأفستية	ar-EG:الأفستية	ar-EH:الأفستية	ar-ER:الأفستية	ar-IL:الأفستية	ar-IQ:الأفستية	ar-JO:الأفستية	ar-KM:الأفستية	ar-KW:الأفستية	ar-LB:الأفستية	ar-LY:الأفستية	ar-MA:الأفستية	ar-MR:الأفستية	ar-OM:الأفستية	ar-PS:الأفستية
aeb	ast:árabe de Túnez	br:arabeg Tunizia	cs:arabština (tuniská)	cy:Arabeg Tunisia	de:Tunesisches Arabisch	de-AT:Tunesisches Arabisch	de-BE:Tunesisches Arabisch	de-CH:Tunesisches Arabisch	de-IT:Tunesisches Arabisch	de-LI:Tunesisches Arabisch	de-LU:Tunesisches Arabisch	en:Tunisian Arabic	en-001:Tunisian Arabic	en-150:Tunisian Arabic	en-AE:Tunisian Arabic	en-AG:Tunisian Arabic	en-AI:Tunisian Arabic	en-AS:Tunisian Arabic	en-AT:Tunisian Arabic	en-AU:Tunisian Arabic
af	af:Afrikaans	af-NA:Afrikaans	ak:Afrikaans	am:አፍሪካንኛ	ar:الأفريقانية	ar-AE:الأفريقانية	ar-BH:الأفريقانية	ar-DJ:الأفريقانية	ar-DZ:الأفريقانية	ar-EG:الأفريقانية	ar-EH:الأفريقانية	ar-ER:الأفريقانية	ar-IL:الأفريقانية	ar-IQ:الأفريقانية	ar-JO:الأفريقانية	ar-KM:الأفريقانية	ar-KW:الأفريقانية	ar-LB:الأفريقانية	ar-LY:الأفريقانية	ar-MA:الأفريقانية
afh	am:አፍሪሂሊ	ar:الأفريهيلية	ar-AE:الأفريهيلية	ar-BH:الأفريهيلية	ar-DJ:الأفريهيلية	ar-DZ:الأفريهيلية	ar-EG:الأفريهيلية	ar-EH:الأفريهيلية	ar-ER:الأفريهيلية	ar-IL:الأفريهيلية	ar-IQ:الأفريهيلية	ar-JO:الأفريهيلية	ar-KM:الأفريهيلية	ar-KW:الأفريهيلية	ar-LB:الأفريهيلية	ar-LY:الأفريهيلية	ar-MA:الأفريهيلية	ar-MR:الأفريهيلية	ar-OM:الأفريهيلية	ar-PS:الأفريهيلية
agq	af:Aghem	af-NA:Aghem	agq:Aghem	am:አገም	ar:الأغم	ar-AE:الأغم	ar-BH:الأغم	ar-DJ:الأغم	ar-DZ:الأغم	ar-EG:الأغم	ar-EH:الأغم	ar-ER:الأغم	ar-IL:الأغم	ar-IQ:الأغم	ar-JO:الأغم	ar-KM:الأغم	ar-KW:الأغم	ar-LB:الأغم	ar-LY:الأغم	ar-MA:الأغم
