001	af:wêreld	af-NA:wêreld	ak:wiase	am:ዓለም	ar:العالم	ar-AE:العالم	ar-BH:العالم	ar-DJ:العالم	ar-DZ:العالم	ar-EG:العالم	ar-EH:العالم	ar-ER:العالم	ar-IL:العالم	ar-IQ:العالم	ar-JO:العالم	ar-KM:العالم	ar-KW:العالم	ar-LB:العالم	ar-LY:العالم	ar-MA:العالم
002	af:Afrika	af-NA:Afrika	ak:Abibirem	am:አፍሪካ	ar:أفريقيا	ar-AE:أفريقيا	ar-BH:أفريقيا	ar-DJ:أفريقيا	ar-DZ:أفريقيا	ar-EG:أفريقيا	ar-EH:أفريقيا	ar-ER:أفريقيا	ar-IL:أفريقيا	ar-IQ:أفريقيا	ar-JO:أفريقيا	ar-KM:أفريقيا	ar-KW:أفريقيا	ar-LB:أفريقيا	ar-LY:أفريقيا	ar-MA:أفريقيا
003	af:Noord-Amerika	af-NA:Noord-Amerika	ak:Amɛrika Atifi	am:ሰሜን አሜሪካ	ar:أمريكا الشمالية	ar-AE:أمريكا الشمالية	ar-BH:أمريكا الشمالية	ar-DJ:أمريكا الشمالية	ar-DZ:أمريكا الشمالية	ar-EG:أمريكا الشمالية	ar-EH:أمريكا الشمالية	ar-ER:أمريكا الشمالية	ar-IL:أمريكا الشمالية	ar-IQ:أمريكا الشمالية	ar-JO:أمريكا الشمالية	ar-KM:أمريكا الشمالية	ar-KW:أمريكا الشمالية	ar-LB:أمريكا الشمالية	ar-LY:أمريكا الشمالية	ar-MA:أمريكا الشمالية
005	af:Suid-Amerika	af-NA:Suid-Amerika	ak:Amɛrika Anaafoɔ	am:ደቡብ አሜሪካ	ar:أمريكا الجنوبية	ar-AE:أمريكا الجنوبية	ar-BH:أمريكا الجنوبية	ar-DJ:أمريكا الجنوبية	ar-DZ:أمريكا الجنوبية	ar-EG:أمريكا الجنوبية	ar-EH:أمريكا الجنوبية	ar-ER:أمريكا الجنوبية	ar-IL:أمريكا الجنوبية	ar-IQ:أمريكا الجنوبية	ar-JO:أمريكا الجنوبية	ar-KM:أمريكا الجنوبية	ar-KW:أمريكا الجنوبية	ar-LB:أمريكا الجنوبية	ar-LY:أمريكا الجنوبية	ar-MA:أمريكا الجنوبية
009	af:Oseanië	af-NA:Oseanië	ak:Osiana	am:ኦሺያንያ	ar:أوقيانوسيا	ar-AE:أوقيانوسيا	ar-BH:أوقيانوسيا	ar-DJ:أوقيانوسيا	ar-DZ:أوقيانوسيا	ar-EG:أوقيانوسيا	ar-EH:أوقيانوسيا	ar-ER:أوقيانوسيا	ar-IL:أوقيانوسيا	ar-IQ:أوقيانوسيا	ar-JO:أوقيانوسيا	ar-KM:أوقيانوسيا	ar-KW:أوقيانوسيا	ar-LB:أوقيانوسيا	ar-LY:أوقيانوسيا	ar-MA:أوقيانوسيا
011	af:Wes-Afrika	af-NA:Wes-Afrika	ak:Abibirem Atɔeɛ Fam	am:ምዕራባዊ አፍሪካ	ar:غرب أفريقيا	ar-AE:غرب أفريقيا	ar-BH:غرب أفريقيا	ar-DJ:غرب أفريقيا	ar-DZ:غرب أفريقيا	ar-EG:غرب أفريقيا	ar-EH:غرب أفريقيا	ar-ER:غرب أفريقيا	ar-IL:غرب أفريقيا	ar-IQ:غرب أفريقيا	ar-JO:غرب أفريقيا	ar-KM:غرب أفريقيا	ar-KW:غرب أفريقيا	ar-LB:غرب أفريقيا	ar-LY:غرب أفريقيا	ar-MA:غرب أفريقيا
013	af:Sentraal-Amerika	af-NA:Sentraal-Amerika	ak:Amɛrika Mfimfini	am:መካከለኛው አሜሪካ	ar:أمريكا الوسطى	ar-AE:أمريكا الوسطى	ar-BH:أمريكا الوسطى	ar-DJ:أمريكا الوسطى	ar-DZ:أمريكا الوسطى	ar-EG:أمريكا الوسطى	ar-EH:أمريكا الوسطى	ar-ER:أمريكا الوسطى	ar-IL:أمريكا الوسطى	ar-IQ:أمريكا الوسطى	ar-JO:أمريكا الوسطى	ar-KM:أمريكا الوسطى	ar-KW:أمريكا الوسطى	ar-LB:أمريكا الوسطى	ar-LY:أمريكا الوسطى	ar-MA:أمريكا الوسطى
014	af:Oos-Afrika	af-NA:Oos-Afrika	ak:Abibirem Apueiɛ Fam	am:ምስራቅ አፍሪካ	ar:شرق أفريقيا	ar-AE:شرق أفريقيا	ar-BH:شرق أفريقيا	ar-DJ:شرق أفريقيا	ar-DZ:شرق أفريقيا	ar-EG:شرق أفريقيا	ar-EH:شرق أفريقيا	ar-ER:شرق أفريقيا	ar-IL:شرق أفريقيا	ar-IQ:شرق أفريقيا	ar-JO:شرق أفريقيا	ar-KM:شرق أفريقيا	ar-KW:شرق أفريقيا	ar-LB:شرق أفريقيا	ar-LY:شرق أفريقيا	ar-MA:شرق أفريقيا
015	af:Noord-Afrika	af-NA:Noord-Afrika	ak:Abibirem Atifi Fam	am:ሰሜናዊ አፍሪካ	ar:شمال أفريقيا	ar-AE:شمال أفريقيا	ar-BH:شمال أفريقيا	ar-DJ:شمال أفريقيا	ar-DZ:شمال أفريقيا	ar-EG:شمال أفريقيا	ar-EH:شمال أفريقيا	ar-ER:شمال أفريقيا	ar-IL:شمال أفريقيا	ar-IQ:شمال أفريقيا	ar-JO:شمال أفريقيا	ar-KM:شمال أفريقيا	ar-KW:شمال أفريقيا	ar-LB:شمال أفريقيا	ar-LY:شمال أفريقيا	ar-MA:شمال أفريقيا
017	af:Midde-Afrika	af-NA:Midde-Afrika	ak:Abibirem Mfimfini	am:መካከለኛው አፍሪካ	ar:وسط أفريقيا	ar-AE:وسط أفريقيا	ar-BH:وسط أفريقيا	ar-DJ:وسط أفريقيا	ar-DZ:وسط أفريقيا	ar-EG:وسط أفريقيا	ar-EH:وسط أفريقيا	ar-ER:وسط أفريقيا	ar-IL:وسط أفريقيا	ar-IQ:وسط أفريقيا	ar-JO:وسط أفريقيا	ar-KM:وسط أفريقيا	ar-KW:وسط أفريقيا	ar-LB:وسط أفريقيا	ar-LY:وسط أفريقيا	ar-MA:وسط أفريقيا
018	af:Suider-Afrika	af-NA:Suider-Afrika	ak:Abibirem Anaafoɔ Fam	am:ደቡባዊ አፍሪካ	ar:أفريقيا الجنوبية	ar-AE:أفريقيا الجنوبية	ar-BH:أفريقيا الجنوبية	ar-DJ:أفريقيا الجنوبية	ar-DZ:أفريقيا الجنوبية	ar-EG:أفريقيا الجنوبية	ar-EH:أفريقيا الجنوبية	ar-ER:أفريقيا الجنوبية	ar-IL:أفريقيا الجنوبية	ar-IQ:أفريقيا الجنوبية	ar-JO:أفريقيا الجنوبية	ar-KM:أفريقيا الجنوبية	ar-KW:أفريقيا الجنوبية	ar-LB:أفريقيا الجنوبية	ar-LY:أفريقيا الجنوبية	ar-MA:أفريقيا الجنوبية
019	af:Amerikas	af-NA:Amerikas	ak:Amɛrikafoɔ	am:አሜሪካ	ar:الأمريكتان	ar-AE:الأمريكتان	ar-BH:الأمريكتان	ar-DJ:الأمريكتان	ar-DZ:الأمريكتان	ar-EG:الأمريكتان	ar-EH:الأمريكتان	ar-ER:الأمريكتان	ar-IL:الأمريكتان	ar-IQ:الأمريكتان	ar-JO:الأمريكتان	ar-KM:الأمريكتان	ar-KW:الأمريكتان	ar-LB:الأمريكتان	ar-LY:الأمريكتان	ar-MA:الأمريكتان
