0	NULL|NUL
1	START OF HEADING|SOH
2	START OF TEXT|STX
3	END OF TEXT|ETX
4	END OF TRANSMISSION|EOT
5	ENQUIRY|ENQ
6	ACKNOWLEDGE|ACK
7	ALERT|BEL
8	BACKSPACE|BS
9	CHARACTER TABULATION|HORIZONTAL TABULATION|HT|TAB
10	LINE FEED|NEW LINE|END OF LINE|LF|NL|EOL
11	LINE TABULATION|VERTICAL TABULATION|VT
12	FORM FEED|FF
13	CARRIAGE RETURN|CR
14	SHIFT OUT|LOCKING-SHIFT ONE|SO
15	SHIFT IN|LOCKING-SHIFT ZERO|SI
16	DATA LINK ESCAPE|DLE
17	DEVICE CONTROL ONE|DC1
18	DEVICE CONTROL TWO|DC2
19	DEVICE CONTROL THREE|DC3
20	DEVICE CONTROL FOUR|DC4
21	NEGATIVE ACKNOWLEDGE|NAK
22	SYNCHRONOUS IDLE|SYN
23	END OF TRANSMISSION BLOCK|ETB
24	CANCEL|CAN
25	END OF MEDIUM|EOM|EM
26	SUBSTITUTE|SUB
27	ESCAPE|ESC
28	INFORMATION SEPARATOR FOUR|FILE SEPARATOR|FS
29	INFORMATION SEPARATOR THREE|GROUP SEPARATOR|GS
30	INFORMATION SEPARATOR TWO|RECORD SEPARATOR|RS
31	INFORMATION SEPARATOR ONE|UNIT SEPARATOR|US
32	SP
127	DELETE|DEL
128	PADDING CHARACTER|PAD
129	HIGH OCTET PRESET|HOP
130	BREAK PERMITTED HERE|BPH
131	NO BREAK HERE|NBH
132	INDEX|IND
133	NEXT LINE|NEL
134	START OF SELECTED AREA|SSA
135	END OF SELECTED AREA|ESA
136	CHARACTER TABULATION SET|HORIZONTAL TABULATION SET|HTS
137	CHARACTER TABULATION WITH JUSTIFICATION|HORIZONTAL TABULATION WITH JUSTIFICATION|HTJ
138	LINE TABULATION SET|VERTICAL TABULATION SET|VTS
139	PARTIAL LINE FORWARD|PARTIAL LINE DOWN|PLD
140	PARTIAL LINE BACKWARD|PARTIAL LINE UP|PLU
141	REVERSE LINE FEED|REVERSE INDEX|RI
142	SINGLE SHIFT TWO|SINGLE-SHIFT-2|SS2
143	SINGLE SHIFT THREE|SINGLE-SHIFT-3|SS3
144	DEVICE CONTROL STRING|DCS
145	PRIVATE USE ONE|PRIVATE USE-1|PU1
146	PRIVATE USE TWO|PRIVATE USE-2|PU2
147	SET TRANSMIT STATE|STS
148	CANCEL CHARACTER|CCH
149	MESSAGE WAITING|MW
150	START OF GUARDED AREA|START OF PROTECTED AREA|SPA
151	END OF GUARDED AREA|END OF PROTECTED AREA|EPA
152	START OF STRING|SOS
153	SINGLE GRAPHIC CHARACTER INTRODUCER|SGC
154	SINGLE CHARACTER INTRODUCER|SCI
155	CONTROL SEQUENCE INTRODUCER|CSI
156	STRING TERMINATOR|ST
157	OPERATING SYSTEM COMMAND|OSC
158	PRIVACY MESSAGE|PM
159	APPLICATION PROGRAM COMMAND|APC
160	NBSP
173	SHY
418	LATIN CAPITAL LETTER GHA
419	LATIN SMALL LETTER GHA
847	CGJ
1558	ARABIC SMALL HIGH LIGATURE ALEF WITH YEH BARREE
1564	ALM
1801	SYRIAC SUBLINEAR COLON SKEWED LEFT
3294	KANNADA LETTER LLLA
3741	LAO LETTER FO FON
3743	LAO LETTER FO FAY
3747	LAO LETTER RO
3749	LAO LETTER LO
4048	TIBETAN MARK BKA- SHOG GI MGO RGYAN
4588	HANGUL JONGSEONG YESIEUNG-KIYEOK
4589	HANGUL JONGSEONG YESIEUNG-SSANGKIYEOK
4590	HANGUL JONGSEONG SSANGYESIEUNG
4591	HANGUL JONGSEONG YESIEUNG-KHIEUKH
6155	FVS1
6156	FVS2
6157	FVS3
6158	MVS
6159	FVS4
7101	SUNDANESE LETTER ARCHAIC I
8203	ZWSP
8204	ZWNJ
8205	ZWJ
8206	LRM
8207	RLM
8234	LRE
8235	RLE
8236	PDF
8237	LRO
8238	RLO
8239	NNBSP
8287	MMSP
8288	WJ
8294	LRI
8295	RLI
8296	FSI
8297	PDI
8472	WEIERSTRASS ELLIPTIC FUNCTION
9288	MICR ON US SYMBOL
9289	MICR DASH SYMBOL
11130	LEFTWARDS TRIANGLE-HEADED ARROW WITH DOUBLE VERTICAL STROKE
11132	RIGHTWARDS TRIANGLE-HEADED ARROW WITH DOUBLE VERTICAL STROKE
40981	YI SYLLABLE ITERATION MARK
43630	MYANMAR LETTER KHAMTI LLA
65024	VS1
65025	VS2
65026	VS3
65027	VS4
65028	VS5
65029	VS6
65030	VS7
65031	VS8
65032	VS9
65033	VS10
65034	VS11
65035	VS12
65036	VS13
65037	VS14
65038	VS15
65039	VS16
65048	PRESENTATION FORM FOR VERTICAL RIGHT WHITE LENTICULAR BRACKET
65279	BYTE ORDER MARK|BOM|ZWNBSP
74452	CUNEIFORM SIGN NU11 TENU
74453	CUNEIFORM SIGN NU11 OVER NU11 BUR OVER BUR
74535	CUNEIFORM SIGN KALAM
92171	BAMUM LETTER PHASE-A MAEMGBIEE
92289	BAMUM LETTER PHASE-B PUNGGAAM
92302	BAMUM LETTER PHASE-B NGGOM
92380	BAMUM LETTER PHASE-C SHETFON
92541	BAMUM LETTER PHASE-E NGGOP
93782	MEDEFAIDRIN CAPITAL LETTER H
93783	MEDEFAIDRIN CAPITAL LETTER NG
93814	MEDEFAIDRIN SMALL LETTER H
93815	MEDEFAIDRIN SMALL LETTER NG
110593	HENTAIGANA LETTER E-1
118981	BYZANTINE MUSICAL SYMBOL FTHORA SKLIRON CHROMA VASIS
125081	MENDE KIKAKUI SYLLABLE M172 MBO
125082	MENDE KIKAKUI SYLLABLE M174 MBOO
917760	VS17
917761	VS18
917762	VS19
917763	VS20
917764	VS21
917765	VS22
917766	VS23
917767	VS24
917768	VS25
917769	VS26
917770	VS27
917771	VS28
917772	VS29
917773	VS30
917774	VS31
917775	VS32
917776	VS33
917777	VS34
917778	VS35
917779	VS36
917780	VS37
917781	VS38
917782	VS39
917783	VS40
917784	VS41
917785	VS42
917786	VS43
917787	VS44
917788	VS45
917789	VS46
917790	VS47
917791	VS48
917792	VS49
917793	VS50
917794	VS51
917795	VS52
917796	VS53
917797	VS54
917798	VS55
917799	VS56
917800	VS57
917801	VS58
917802	VS59
917803	VS60
917804	VS61
917805	VS62
917806	VS63
917807	VS64
917808	VS65
917809	VS66
917810	VS67
917811	VS68
917812	VS69
917813	VS70
917814	VS71
917815	VS72
917816	VS73
917817	VS74
917818	VS75
917819	VS76
917820	VS77
917821	VS78
917822	VS79
917823	VS80
917824	VS81
917825	VS82
917826	VS83
917827	VS84
917828	VS85
917829	VS86
917830	VS87
917831	VS88
917832	VS89
917833	VS90
917834	VS91
917835	VS92
917836	VS93
917837	VS94
917838	VS95
917839	VS96
917840	VS97
917841	VS98
917842	VS99
917843	VS100
917844	VS101
917845	VS102
917846	VS103
917847	VS104
917848	VS105
917849	VS106
917850	VS107
917851	VS108
917852	VS109
917853	VS110
917854	VS111
917855	VS112
917856	VS113
917857	VS114
917858	VS115
917859	VS116
917860	VS117
917861	VS118
917862	VS119
917863	VS120
917864	VS121
917865	VS122
917866	VS123
917867	VS124
917868	VS125
917869	VS126
917870	VS127
917871	VS128
917872	VS129
917873	VS130
917874	VS131
917875	VS132
917876	VS133
917877	VS134
917878	VS135
917879	VS136
917880	VS137
917881	VS138
917882	VS139
917883	VS140
917884	VS141
917885	VS142
917886	VS143
917887	VS144
917888	VS145
917889	VS146
917890	VS147
917891	VS148
917892	VS149
917893	VS150
917894	VS151
917895	VS152
917896	VS153
917897	VS154
917898	VS155
917899	VS156
917900	VS157
917901	VS158
917902	VS159
917903	VS160
917904	VS161
917905	VS162
917906	VS163
917907	VS164
