1	= START OF HEADING
2	= START OF TEXT
3	= END OF TEXT
4	= END OF TRANSMISSION
5	= ENQUIRY
6	= ACKNOWLEDGE
7	= BELL
8	= BACKSPACE
9	= CHARACTER TABULATION|= horizontal tabulation (HT)|= tab
10	= LINE FEED (LF)|= new line (NL)|= end of line (EOL)
11	= LINE TABULATION|= vertical tabulation (VT)
12	= FORM FEED (FF)
13	= CARRIAGE RETURN (CR)
14	= SHIFT OUT|* known as LOCKING-SHIFT ONE in 8-bit environments
15	= SHIFT IN|* known as LOCKING-SHIFT ZERO in 8-bit environments
16	= DATA LINK ESCAPE
17	= DEVICE CONTROL ONE
18	= DEVICE CONTROL TWO
19	= DEVICE CONTROL THREE
20	= DEVICE CONTROL FOUR
21	= NEGATIVE ACKNOWLEDGE
22	= SYNCHRONOUS IDLE
23	= END OF TRANSMISSION BLOCK
24	= CANCEL
25	= END OF MEDIUM
26	= SUBSTITUTE|x (replacement character - FFFD)
27	= ESCAPE
28	= INFORMATION SEPARATOR FOUR|= file separator (FS)
29	= INFORMATION SEPARATOR THREE|= group separator (GS)
30	= INFORMATION SEPARATOR TWO|= record separator (RS)
31	= INFORMATION SEPARATOR ONE|= unit separator (US)
32	* sometimes considered a control code|* other space characters: 2000-200A|x (no-break space - 00A0)|x (zero width space - 200B)|x (narrow no-break space - 202F)|x (word joiner - 2060)|x (symbol for space - 2420)|x (blank symbol - 2422)|x (open box - 2423)|x (ideographic space - 3000)|x (zero width no-break space - FEFF)
33	= factorial|= bang|x (inverted exclamation mark - 00A1)|x (latin letter retroflex click - 01C3)|x (double exclamation mark - 203C)|x (interrobang - 203D)|x (warning sign - 26A0)|x (heavy exclamation mark symbol - 2757)|x (heavy exclamation mark ornament - 2762)|x (medieval exclamation mark - 2E53)|x (modifier letter raised exclamation mark - A71D)
34	= double quote|* neutral (vertical), used as opening or closing quotation mark|* preferred characters in English for paired quotation marks are 201C & 201D|* 05F4 is preferred for gershayim when writing Hebrew|x (modifier letter double prime - 02BA)|x (double acute accent - 02DD)|x (modifier letter double apostrophe - 02EE)|x (combining double acute accent - 030B)|x (combining double vertical line above - 030E)|x (hebrew punctuation gershayim - 05F4)|x (left double quotation mark - 201C)|x (right double quotation mark - 201D)|x (double prime - 2033)|x (ditto mark - 3003)
35	= pound sign (weight)|= hashtag, hash|= crosshatch, octothorpe|* for denoting musical sharp 266F is preferred|x (l b bar symbol - 2114)|x (numero sign - 2116)|x (viewdata square - 2317)|x (music sharp sign - 266F)|x (equals sign and slanted parallel - 29E3)
36	= milréis, escudo|* used for many peso currencies in Latin America and elsewhere|* glyph may have one or two vertical bars|* other currency symbol characters start at 20A0|x (cent sign - 00A2)|x (currency sign - 00A4)|x (peso sign - 20B1)|x (heavy dollar sign - 1F4B2)
37	x (arabic percent sign - 066A)|x (per mille sign - 2030)|x (per ten thousand sign - 2031)|x (commercial minus sign - 2052)
38	= and|* originally derived from a ligature of 'e' and 't'|x (tironian sign et - 204A)|x (turned ampersand - 214B)|x (heavy ampersand ornament - 1F674)
39	= apostrophe-quote (1.0)|= single quote|= APL quote|* neutral (vertical) glyph with mixed usage|* 2019 is preferred for apostrophe|* preferred characters in English for paired quotation marks are 2018 & 2019|* 05F3 is preferred for geresh when writing Hebrew|x (modifier letter prime - 02B9)|x (modifier letter apostrophe - 02BC)|x (modifier letter vertical line - 02C8)|x (combining acute accent - 0301)|x (combining vertical line above - 030D)|x (hebrew punctuation geresh - 05F3)|x (left single quotation mark - 2018)|x (right single quotation mark - 2019)|x (prime - 2032)|x (latin small letter saltillo - A78C)
40	= opening parenthesis (1.0)
41	= closing parenthesis (1.0)|* see discussion on semantics of paired bracketing characters
42	= star|* can have five or six spokes|x (arabic five pointed star - 066D)|x (reference mark - 203B)|x (asterism - 2042)|x (low asterisk - 204E)|x (two asterisks aligned vertically - 2051)|x (combining asterisk above - 20F0)|x (asterisk operator - 2217)|x (sextile - 26B9)|x (heavy asterisk - 2731)|x (slavonic asterisk - A673)|x (medium six spoked asterisk - 1F7B6)
43	x (modifier letter plus sign - 02D6)|x (minus sign - 2212)|x (heavy plus sign - 2795)|x (hebrew letter alternative plus sign - FB29)|x (light greek cross - 1F7A2)
44	= the use as decimal or thousands separator is locale dependent|x (arabic comma - 060C)|x (arabic decimal separator - 066B)|x (single low-9 quotation mark - 201A)|x (hypodiastole - 2E12)|x (reversed comma - 2E41)|x (medieval comma - 2E4C)|x (ideographic comma - 3001)
45	= hyphen, dash|= minus sign|* used generically for hyphen, minus sign or en dash, all of which have dedicated alternatives|x (soft hyphen - 00AD)|x (modifier letter minus sign - 02D7)|x (hyphen - 2010)|x (non-breaking hyphen - 2011)|x (figure dash - 2012)|x (en dash - 2013)|x (hyphenation point - 2027)|x (hyphen bullet - 2043)|x (minus sign - 2212)|x (roman uncia sign - 10191)
46	= period, dot, decimal point|* the use as decimal point is locale dependent|* may be rendered as a raised decimal point in old style numbers|x (middle dot - 00B7)|x (arabic full stop - 06D4)|x (one dot leader - 2024)|x (horizontal ellipsis - 2026)|x (raised dot - 2E33)|x (stenographic full stop - 2E3C)|x (ideographic full stop - 3002)
47	= slash, forward slash, virgule|x (combining long solidus overlay - 0338)|x (fraction slash - 2044)|x (division slash - 2215)|x (mathematical rising diagonal - 27CB)|x (big solidus - 29F8)|x (dotted solidus - 2E4A)
48	~ 0030 FE00 short diagonal stroke form
50	x (latin letter two with stroke - 01BB)|x (turned digit two - 218A)
51	x (turned digit three - 218B)|x (latin capital letter reversed open e - A7AB)
52	x (latin capital letter cuatrillo - A72C)
53	x (latin capital letter tone five - 01BC)
58	* also used to denote division or scale; for that mathematical use 2236 is preferred|* in Finnish and Swedish, also used as intra-word punctation (abbreviation mark)|x (modifier letter triangular colon - 02D0)|x (modifier letter raised colon - 02F8)|x (armenian full stop - 0589)|x (hebrew punctuation sof pasuq - 05C3)|x (ethiopic wordspace - 1361)|x (ethiopic colon - 1365)|x (two dot punctuation - 205A)|x (tricolon - 205D)|x (ratio - 2236)|x (modifier letter colon - A789)|x (presentation form for vertical two dot leader - FE30)
59	* this, and not 037E, is the preferred character for "Greek question mark"|x (greek question mark - 037E)|x (arabic semicolon - 061B)|x (reversed semicolon - 204F)|x (turned semicolon - 2E35)
60	* paired with 003E for ASCII-based angle bracket markup conventions|x (modifier letter left arrowhead - 02C2)|x (single left-pointing angle quotation mark - 2039)|x (left-pointing angle bracket - 2329)|x (mathematical left angle bracket - 27E8)|x (left angle bracket - 3008)
61	* other related characters: 2241-2263|x (canadian syllabics hyphen - 1400)|x (almost equal to - 2248)|x (not equal to - 2260)|x (identical to - 2261)|x (double hyphen - 2E40)|x (katakana-hiragana double hyphen - 30A0)|x (modifier letter short equals sign - A78A)|x (small equals sign - FE66)|x (roman sextans sign - 10190)|x (heavy equals sign - 1F7F0)
62	x (modifier letter right arrowhead - 02C3)|x (single right-pointing angle quotation mark - 203A)|x (right-pointing angle bracket - 232A)|x (mathematical right angle bracket - 27E9)|x (right angle bracket - 3009)
63	x (inverted question mark - 00BF)|x (greek question mark - 037E)|x (arabic question mark - 061F)|x (interrobang - 203D)|x (double question mark - 2047)|x (black question mark ornament - 2753)|x (uncertainty sign - 2BD1)|x (reversed question mark - 2E2E)|x (medieval question mark - 2E54)|x (replacement character - FFFD)
64	= at sign|= arroba (old Spanish unit of weight)|x (circled latin small letter a - 24D0)
66	x (script capital b - 212C)
67	x (greek capital lunate sigma symbol - 03F9)|x (double-struck capital c - 2102)|x (degree celsius - 2103)|x (black-letter capital c - 212D)|x (roman numeral one hundred - 216D)
68	x (roman numeral five hundred - 216E)
69	x (latin capital letter open e - 0190)|x (euler constant - 2107)|x (script capital e - 2130)
70	x (degree fahrenheit - 2109)|x (script capital f - 2131)|x (turned capital f - 2132)
72	x (script capital h - 210B)|x (black-letter capital h - 210C)|x (double-struck capital h - 210D)
73	* Turkish and Azerbaijani use 0131 for lowercase|x (latin capital letter i with dot above - 0130)|x (script capital i - 2110)|x (black-letter capital i - 2111)|x (roman numeral one - 2160)
75	x (kelvin sign - 212A)
76	x (script capital l - 2112)
77	x (script capital m - 2133)|x (roman numeral one thousand - 216F)
78	x (double-struck capital n - 2115)
80	x (script capital p - 2118)|x (double-struck capital p - 2119)
81	x (cyrillic capital letter qa - 051A)|x (double-struck capital q - 211A)|x (rotated capital q - 213A)
82	x (script capital r - 211B)|x (black-letter capital r - 211C)|x (double-struck capital r - 211D)
86	x (roman numeral five - 2164)
87	x (cyrillic capital letter we - 051C)
88	x (roman numeral ten - 2169)
90	x (double-struck capital z - 2124)|x (black-letter capital z - 2128)
91	= opening square bracket (1.0)|* other bracket characters: 27E6-27EB, 2983-2998, 3008-301B
