a	0.50	0.25
abuse	0.08	0.82
amazing	0.90	0.85
and	0.50	0.30
angry	0.15	0.85
are	0.50	0.30
at	0.50	0.25
attack	0.12	0.90
awesome	0.88	0.85
be	0.50	0.30
beautiful	0.88	0.60
bored	0.25	0.15
brave	0.78	0.75
brilliant	0.87	0.75
bug	0.20	0.55
build	0.60	0.55
buon	0.15	0.35
calm	0.70	0.20
cam	0.50	0.30
change	0.55	0.55
chao	0.70	0.50
code	0.55	0.50
cold	0.30	0.30
comfort	0.80	0.30
computer	0.55	0.45
create	0.72	0.60
cry	0.20	0.70
danger	0.15	0.85
dark	0.25	0.35
data	0.50	0.35
death	0.10	0.75
dep	0.85	0.55
destroy	0.08	0.88
die	0.08	0.80
dream	0.75	0.50
empty	0.20	0.25
error	0.25	0.60
evolve	0.68	0.60
excellent	0.88	0.70
excited	0.85	0.90
fail	0.15	0.55
fantastic	0.90	0.80
fear	0.12	0.90
fight	0.20	0.85
file	0.50	0.30
fix	0.65	0.55
for	0.50	0.30
free	0.82	0.60
friend	0.82	0.55
gentle	0.72	0.25
gian	0.15	0.80
good	0.80	0.50
great	0.85	0.65
grow	0.70	0.55
happy	0.92	0.75
hate	0.10	0.85
have	0.55	0.35
hero	0.82	0.75
hope	0.80	0.55
hurt	0.15	0.75
in	0.50	0.30
is	0.50	0.30
it	0.50	0.30
joy	0.95	0.80
kernel	0.50	0.50
kill	0.05	0.90
kind	0.80	0.40
know	0.65	0.40
laugh	0.88	0.80
learn	0.70	0.55
lonely	0.15	0.30
lost	0.22	0.40
love	0.95	0.70
memory	0.55	0.40
network	0.55	0.45
new	0.65	0.55
nice	0.75	0.45
of	0.50	0.25
on	0.65	0.35
pain	0.12	0.80
peace	0.80	0.30
perfect	0.90	0.65
poor	0.20	0.35
process	0.55	0.45
program	0.55	0.45
quiet	0.60	0.15
rage	0.10	0.95
read	0.55	0.35
relax	0.75	0.15
rest	0.68	0.15
run	0.60	0.60
sad	0.18	0.35
safe	0.78	0.25
scream	0.15	0.90
sick	0.15	0.45
sleep	0.62	0.10
smile	0.85	0.65
so	0.15	0.85
soft	0.65	0.20
start	0.60	0.55
stop	0.45	0.45
strong	0.75	0.70
success	0.85	0.70
suffer	0.12	0.75
sweet	0.82	0.55
system	0.55	0.40
terror	0.08	0.95
test	0.55	0.50
that	0.50	0.30
the	0.50	0.30
think	0.60	0.45
this	0.50	0.30
tired	0.25	0.20
to	0.50	0.30
tot	0.80	0.50
understand	0.68	0.45
violent	0.10	0.90
vui	0.88	0.75
war	0.10	0.85
warm	0.78	0.50
was	0.50	0.30
weak	0.22	0.30
win	0.88	0.85
with	0.50	0.30
wonderful	0.92	0.70
work	0.60	0.50
write	0.55	0.40
xau	0.18	0.45
xin	0.70	0.40
yeu	0.90	0.70
